ms_since_boot,temp_C,press_Pa
4449,27.12,999.03
5263,27.25,999.06
6076,27.31,999.06
6890,27.25,999.07
7703,27.31,999.05
8516,27.31,999.06
9329,27.31,999.05
10143,27.31,999.06
10956,27.31,999.07
11769,27.31,999.08
12583,27.31,999.09
13396,27.31,999.11
14209,27.37,999.09
15022,27.37,999.17
15836,27.37,999.17
16649,27.37,999.13
17462,27.37,999.18
18273,27.37,999.16
19085,27.37,999.18
19896,27.44,999.20
20708,27.44,999.22
21519,27.44,999.18
22331,27.44,999.22
23143,27.44,999.28
23954,27.44,999.31
24769,27.44,999.35
25581,27.44,999.38
26393,27.44,999.38
27204,27.44,999.44
28016,27.44,999.44
28828,27.44,999.43
29639,27.44,999.43
30451,27.44,999.44
31262,27.44,999.45
32074,27.44,999.45
32886,27.44,999.22
33697,27.44,999.22
34509,27.44,999.19
35321,27.44,999.22
36132,27.44,999.21
36944,27.44,999.22
37756,27.44,999.23
38567,27.44,999.21
39379,27.44,999.21
40191,27.44,1005.14
41002,27.44,1000.31
41814,27.44,999.29
42626,27.44,999.22
43437,27.44,1004.58
44249,27.44,1003.37
45064,27.44,1004.09
45875,27.37,1001.36
46687,27.37,999.35
47499,27.37,999.16
48310,27.37,999.21
49122,27.44,999.88
49933,27.37,1099.61
50745,27.44,1205.22
51556,27.56,1301.63
52368,27.62,1388.18
53180,27.69,1420.81
53991,27.75,1420.97
54803,27.81,1421.12
55615,27.87,1421.27
56426,27.87,1421.33
57238,27.94,1421.42
58050,27.94,1421.63
58861,28.00,1421.73
59673,28.00,1421.75
60485,28.00,1421.75
61296,28.06,1421.84
62108,28.06,1421.86
62919,28.06,1421.96
63731,28.06,1422.01
64543,28.12,1422.03
65358,28.12,1422.10
66170,28.12,1422.10
66981,28.12,1422.10
67793,28.12,1422.16
68604,28.12,1422.22
69416,28.19,1422.24
70228,28.19,1422.26
71039,28.19,1422.32
71851,28.19,1422.35
72663,28.19,1422.36
73474,28.25,1422.37
74286,28.19,1422.46
75098,28.25,1422.47
75909,28.25,1422.43
76721,28.25,1422.44
77533,28.25,1422.49
78344,28.25,1422.49
79156,28.25,1422.53
79968,28.25,1422.54
80779,28.25,1422.56
81591,28.25,1422.57
82402,28.25,1422.54
83214,28.25,1422.57
84026,28.25,1422.54
84841,28.25,1422.60
85653,28.25,1422.56
86464,28.25,1422.59
87276,28.25,1422.58
88088,28.31,1422.57
88899,28.25,1422.57
89711,28.31,1422.59
90522,28.25,1422.56
91334,28.25,1422.56
92146,28.25,1422.53
92957,28.25,1422.50
93769,28.25,1422.50
94581,28.25,1422.50
95392,28.25,1422.46
96204,28.25,1422.43
97016,28.19,1422.35
97827,28.19,1422.33
98639,28.19,1422.28
99451,28.19,1422.24
100262,28.19,1422.21
101074,28.19,1422.26
101886,28.19,1422.29
102697,28.19,1422.21
103509,28.19,1422.18
104324,28.12,1422.17
105136,28.12,1422.12
105948,28.12,1422.13
106759,28.12,1422.08
107571,28.12,1422.07
108382,28.12,1422.05
109194,28.12,1422.07
110006,28.12,1422.03
110817,28.06,1421.99
111629,28.06,1422.03
112441,28.06,1421.98
113252,28.06,1421.94
114064,28.06,1421.90
114876,28.06,1421.95
115687,28.06,1421.85
116499,28.06,1421.83
117311,28.06,1421.84
118122,28.06,1421.80
118934,28.00,1421.80
119745,28.00,1421.74
120557,28.00,1421.72
121369,28.00,1421.63
122180,28.00,1421.57
122992,28.00,1421.60
123807,27.94,1421.60
124619,27.94,1421.53
125430,27.94,1421.53
126242,27.94,1421.52
127054,27.94,1421.48
127865,27.94,1421.45
128677,27.94,1421.41
129489,27.94,1421.41
130300,27.87,1421.40
131112,27.94,1421.41
131924,27.87,1421.34
132735,27.87,1421.34
133547,27.87,1421.31
134359,27.87,1421.29
135170,27.87,1421.26
135982,27.87,1421.20
136793,27.87,1421.22
137605,27.87,1421.16
138417,27.81,1421.11
139228,27.81,1421.10
140040,27.81,1421.04
140852,27.81,1421.04
141663,27.81,1420.99
142479,27.81,1420.96
143290,27.81,1420.93
144102,27.75,1420.95
144913,27.75,1420.92
145725,27.75,1420.92
146536,27.75,1420.88
147348,27.75,1420.91
148160,27.75,1420.90
148971,27.75,1420.87
149783,27.75,1420.86
150594,27.75,1420.79
151406,27.75,1420.85
152218,27.75,1420.79
153029,27.75,1420.74
153841,27.69,1420.79
154652,27.69,1420.72
155464,27.69,1420.76
156275,27.69,1420.70
157087,27.69,1420.71
157899,27.69,1420.73
158710,27.69,1420.69
159522,27.69,1420.68
160333,27.69,1420.67
161149,27.69,1420.67
161959,27.69,1420.68
162769,27.69,1420.60
163580,27.69,1420.61
164390,27.69,1420.65
165201,27.69,1420.62
166011,27.69,1420.62
166822,27.69,1420.57
167632,27.69,1420.60
168443,27.69,1420.60
169253,27.62,1420.56
170064,27.69,1420.54
170874,27.62,1420.56
171685,27.62,1420.50
172495,27.62,1420.50
173306,27.62,1420.51
174116,27.62,1420.50
174927,27.62,1420.53
175737,27.62,1420.49
176548,27.62,1420.48
177358,27.62,1420.45
178169,27.62,1420.46
178979,27.62,1420.45
179790,27.62,1420.42
180598,27.62,1420.42
181408,27.62,1420.45
182219,27.62,1420.39
183030,27.62,1420.43
183840,27.62,1420.38
184651,27.62,1420.39
185461,27.62,1420.42
186272,27.62,1420.39
187082,27.56,1420.36
187893,27.62,1420.37
188704,27.62,1420.34
189514,27.62,1420.34
190325,27.62,1420.36
191135,27.56,1420.36
191946,27.56,1420.31
192757,27.56,1420.33
193567,27.56,1420.34
194378,27.56,1420.32
195189,27.56,1420.31
195999,27.56,1420.28
196810,27.56,1420.30
197620,27.56,1420.30
198431,27.56,1420.29
199244,27.56,1420.28
200055,27.56,1420.28
200865,27.56,1420.29
201676,27.56,1420.24
