ms_since_boot,temp_C,press_Pa # long run op 4 sept
4453,25.62,1009.32
5266,25.75,1009.36
6078,25.75,1009.35
6890,25.81,1009.33
7702,25.81,1009.36
8514,25.81,1009.33
9327,25.81,1009.34
10139,25.75,1009.36
10951,25.75,1009.40
11764,25.75,1009.36
12576,25.81,1009.40
13388,25.81,1009.38
14200,25.81,1009.39
15013,25.81,1009.41
15825,25.81,1009.40
16637,25.81,1009.35
17449,25.81,1009.38
18259,25.81,1009.39
19070,25.81,1009.36
19880,25.81,1009.37
20691,25.75,1009.38
21501,25.75,1009.34
22312,25.81,1009.33
23122,25.81,1009.34
23935,25.81,1009.35
24746,25.81,1009.34
25557,25.81,1009.37
26367,25.81,1009.37
27178,25.81,1009.35
27988,25.81,1009.45
28799,25.81,1009.59
29610,25.81,1009.68
30420,25.81,1009.73
31231,25.75,1009.79
32041,25.81,1009.87
32852,25.75,1009.91
33663,25.81,1010.00
34473,25.75,1010.00
35284,25.75,1010.02
36094,25.75,1010.01
36905,25.75,1009.97
37715,25.75,1010.01
38526,25.75,1009.94
39337,25.75,1009.97
40147,25.75,1009.97
40958,25.75,1009.98
41768,25.75,1010.00
42579,25.75,1010.01
43393,25.69,1010.06
44203,25.69,1010.04
45014,25.69,1010.09
45824,25.69,1010.06
46635,25.69,1010.12
47445,25.69,1010.14
48256,25.69,1010.17
49066,25.69,1010.21
49877,25.69,1010.25
50688,25.69,1010.29
51498,25.62,1010.28
52309,25.69,1010.31
53119,25.62,1010.32
53930,25.62,1010.30
54740,25.62,1010.35
55551,25.62,1010.35
56362,25.62,1010.35
57172,25.62,1010.33
57983,25.62,1010.37
58793,25.62,1010.35
59604,25.62,1010.35
60415,25.62,1010.36
61225,25.62,1010.38
62036,25.62,1010.38
62846,25.62,1010.36
63654,25.62,1010.40
64465,25.62,1010.36
65276,25.56,1010.37
66086,25.62,1010.37
66897,25.56,1010.37
67707,25.56,1010.38
68518,25.62,1010.37
69329,25.56,1010.38
70139,25.56,1010.42
70950,25.56,1010.39
71760,25.56,1010.39
72571,25.56,1010.37
73382,25.56,1010.36
74192,25.56,1010.38
75003,25.56,1010.40
75813,25.56,1010.34
76624,25.56,1010.37
77435,25.56,1010.38
78245,25.56,1010.37
79056,25.56,1010.39
79866,25.56,1010.38
80677,25.50,1010.39
81487,25.56,1010.41
82298,25.50,1010.38
83111,25.50,1010.40
83922,25.50,1010.36
84733,25.50,1010.36
85543,25.50,1010.39
86354,25.50,1010.38
87164,25.50,1010.40
87975,25.50,1010.41
88785,25.50,1010.41
89596,25.50,1010.41
90407,25.50,1010.40
91217,25.50,1010.42
92028,25.50,1010.43
92838,25.50,1010.41
93649,25.50,1010.44
94459,25.50,1010.45
95270,25.50,1010.44
96081,25.50,1010.44
96891,25.50,1010.40
97702,25.44,1010.46
98512,25.44,1010.44
99323,25.44,1010.45
100134,25.44,1010.47
100944,25.44,1010.51
101755,25.44,1010.48
102568,25.44,1010.48
103379,25.44,1010.51
104189,25.44,1010.51
105000,25.44,1010.46
105811,25.44,1010.48
106621,25.44,1010.48
107432,25.44,1010.49
108242,25.44,1010.47
109053,25.44,1010.50
109864,25.44,1010.48
110674,25.44,1010.54
111485,25.44,1010.52
112295,25.44,1010.53
113106,25.44,1010.49
113917,25.44,1010.56
114727,25.44,1010.51
115538,25.37,1010.53
116348,25.37,1010.56
117159,25.37,1010.56
117970,25.37,1010.54
118780,25.37,1010.53
119591,25.37,1010.54
120401,25.37,1010.59
121215,25.37,1010.57
122026,25.37,1010.54
122836,25.37,1010.56
123647,25.37,1010.59
124468,25.37,1010.61
125279,25.37,1010.61
126089,25.37,1010.64
126899,25.37,1010.66
127710,25.37,1010.68
128520,25.37,1010.73
129331,25.37,1010.73
130141,25.37,1010.77
130952,25.37,1010.75
131762,25.31,1010.77
132573,25.31,1010.79
133383,25.31,1010.78
134193,25.31,1010.78
135004,25.31,1010.78
135814,25.31,1010.76
136625,25.31,1010.81
137435,25.31,1010.80
138246,25.31,1010.86
139056,25.31,1010.83
139867,25.31,1010.83
140680,25.31,1010.82
141490,25.31,1010.82
142301,25.31,1010.84
143111,25.31,1010.85
143921,25.31,1010.82
144732,25.31,1010.83
145542,25.31,1010.84
146353,25.31,1010.82
147163,25.31,1010.82
147974,25.31,1010.82
148784,25.31,1010.83
149594,25.31,1010.79
150405,25.31,1010.80
151215,25.31,1010.84
152026,25.25,1010.81
152836,25.31,1010.83
153646,25.31,1010.83
154457,25.25,1010.82
155267,25.25,1010.80
156078,25.25,1010.79
156888,25.31,1010.81
157698,25.25,1010.83
158509,25.25,1010.77
159322,25.25,1010.80
160133,25.25,1010.81
160943,25.25,1010.80
161754,25.25,1010.80
162565,25.25,1010.82
163375,25.25,1010.78
164186,25.25,1010.78
164997,25.25,1010.78
165808,25.25,1010.84
166618,25.25,1010.85
167429,25.25,1010.78
168240,25.25,1010.80
169051,25.25,1010.78
169861,25.25,1010.81
170672,25.25,1010.82
171483,25.25,1010.81
172294,25.25,1010.80
173104,25.25,1010.81
173915,25.25,1010.82
174726,25.25,1010.80
175536,25.25,1010.77
176347,25.25,1010.81
177158,25.19,1010.78
177972,25.19,1010.81
178783,25.19,1010.80
179593,25.25,1010.82
180404,25.25,1010.80
181215,25.19,1010.80
182026,25.19,1010.79
182837,25.19,1010.82
183647,25.19,1010.79
184458,25.19,1010.82
185269,25.19,1010.80
186079,25.19,1010.80
186890,25.19,1010.80
187701,25.19,1010.83
188512,25.19,1010.81
189322,25.19,1010.78
190133,25.19,1010.84
190944,25.19,1010.82
191755,25.19,1010.83
192566,25.19,1010.78
193376,25.19,1010.82
194187,25.19,1010.83
194998,25.19,1010.83
195809,25.19,1010.82
196620,25.19,1010.84
197428,25.19,1010.85
198239,25.19,1010.84
199050,25.19,1010.82
199861,25.19,1010.78
200671,25.19,1010.85
201482,25.19,1010.86
202293,25.19,1010.83
203104,25.19,1010.83
203915,25.19,1010.84
204725,25.19,1010.81
205536,25.12,1010.84
206347,25.12,1010.85
207158,25.12,1010.83
207969,25.12,1010.80
