ms_since_boot,temp_C,press_Pa
4449,24.94,1004.08
5261,25.06,1004.09
6074,25.12,1004.09
6886,25.12,1004.10
7698,25.19,1004.09
8510,25.19,1004.09
9323,25.25,1004.08
10135,25.25,1004.07
10947,25.25,1004.09
11759,25.31,1004.10
12572,25.31,1004.09
13384,25.31,1004.09
14196,25.37,1004.14
15008,25.37,1004.12
15821,25.44,1004.09
16633,25.44,1004.11
17444,25.44,1004.13
18255,25.50,1004.10
19065,25.50,1004.11
19876,25.50,1004.10
20686,25.56,1004.12
21497,25.56,1004.14
22307,25.56,1004.12
23118,25.56,1004.12
23931,25.56,1004.15
24742,25.62,1004.13
25552,25.62,1004.12
26363,25.62,1004.14
27173,25.62,1004.20
27984,25.62,1004.20
28795,25.62,1004.24
29605,25.62,1004.33
30416,25.62,1004.45
31226,25.62,1004.49
32037,25.62,1004.57
32848,25.62,1004.52
33658,25.62,1004.07
34469,25.62,1004.05
35279,25.62,1004.10
36090,25.62,1004.14
36900,25.62,1004.18
37711,25.62,1004.17
38522,25.69,1004.22
39332,25.62,1004.21
40143,25.62,1004.24
40953,25.62,1004.29
41764,25.62,1004.28
42575,25.62,1004.34
43388,25.62,1004.36
44199,25.62,1004.37
45009,25.62,1004.39
45820,25.62,1004.36
46631,25.62,1004.39
47441,25.62,1024.01
48252,25.62,1127.06
49062,25.75,1215.94
49873,25.81,1295.07
50683,25.87,1366.57
51494,25.94,1415.00
52304,26.00,1415.19
53115,26.00,1415.37
53926,26.06,1415.38
54736,26.06,1415.40
55547,26.06,1415.53
56357,26.12,1415.61
57168,26.12,1415.74
57978,26.19,1415.83
58789,26.19,1415.91
59600,26.25,1415.94
60410,26.25,1416.04
61221,26.25,1416.12
62031,26.31,1416.15
62842,26.31,1416.19
63650,26.31,1416.29
64460,26.37,1416.39
65271,26.37,1416.38
66082,26.37,1416.42
66892,26.37,1416.51
67703,26.37,1416.56
68513,26.44,1416.55
69324,26.44,1416.55
70135,26.44,1416.61
70945,26.44,1416.70
71756,26.44,1416.70
72566,26.50,1416.76
73377,26.50,1416.73
74187,26.50,1416.80
74998,26.50,1416.83
75809,26.50,1416.83
76619,26.50,1416.88
77430,26.50,1416.92
78240,26.56,1416.92
79051,26.56,1416.93
79861,26.56,1416.96
80672,26.56,1416.93
81483,26.56,1416.96
82293,26.56,1416.97
83107,26.56,1416.97
83917,26.56,1416.96
84728,26.56,1417.00
85538,26.56,1417.00
86349,26.56,1416.97
87160,26.56,1417.00
87970,26.56,1417.06
88781,26.56,1417.00
89591,26.56,1417.08
90402,26.56,1417.04
91212,26.56,1417.04
92023,26.56,1416.99
92834,26.56,1417.06
93644,26.56,1417.02
94455,26.56,1417.04
95265,26.56,1416.99
96076,26.56,1417.01
96895,26.56,1417.05
97706,26.56,1417.02
98516,26.56,1417.00
99326,26.56,1417.05
100137,26.56,1417.02
100947,26.56,1417.02
101758,26.56,1417.00
102571,26.56,1417.01
103382,26.56,1417.02
104192,26.56,1417.02
105003,26.56,1417.03
105813,26.56,1417.02
106624,26.56,1416.99
107434,26.56,1417.00
108244,26.56,1417.01
109055,26.56,1416.98
109865,26.56,1417.05
110676,26.56,1416.97
111486,26.56,1417.01
112297,26.56,1416.98
113107,26.56,1416.97
113918,26.56,1416.99
114728,26.56,1416.98
115539,26.56,1416.98
116349,26.56,1416.98
117160,26.56,1417.00
117970,26.56,1416.99
118781,26.56,1416.95
119591,26.56,1416.94
120402,26.56,1417.03
121215,26.56,1416.94
122026,26.56,1416.96
122836,26.56,1416.97
123647,26.56,1416.95
124457,26.56,1416.96
125268,26.56,1416.92
126078,26.56,1416.95
126889,26.56,1416.93
127699,26.56,1416.94
128510,26.56,1416.96
129320,26.56,1416.93
130131,26.56,1416.94
130941,26.56,1416.94
131751,26.56,1416.94
132562,26.56,1416.93
133373,26.50,1416.90
134183,26.56,1416.94
134993,26.56,1416.92
135804,26.56,1416.89
136615,26.50,1416.90
137425,26.50,1416.89
138236,26.56,1416.85
139046,26.56,1416.88
139857,26.56,1416.89
140670,26.50,1416.90
141481,26.56,1416.88
142291,26.50,1416.89
143102,26.50,1416.91
143912,26.50,1416.88
144723,26.50,1416.89
145533,26.50,1416.85
