ms_since_boot,temp_C,press_Pa
4449,29.56,1004.28
5263,29.62,1004.30
6076,29.62,1004.30
6889,29.62,1004.34
7702,29.62,1004.34
8515,29.69,1004.43
9328,29.75,1004.40
10141,29.75,1004.41
10954,29.69,1004.41
11767,29.69,1004.39
12580,29.69,1004.36
13393,29.69,1004.35
14206,29.69,1004.37
15019,29.69,1004.37
15832,29.69,1004.37
16645,29.69,1004.36
17458,29.69,1004.40
18269,29.69,1004.40
19080,29.69,1004.39
19891,29.69,1004.42
20703,29.69,1004.39
21514,29.62,1004.40
22325,29.62,1004.38
23137,29.62,1004.40
23951,29.62,1004.41
24763,29.62,1004.41
25574,29.62,1004.42
26386,29.62,1004.39
27197,29.62,1004.40
28008,29.62,1004.39
28820,29.62,1004.38
29631,29.62,1004.36
30442,29.56,1004.41
31254,29.56,1004.40
32065,29.56,1004.39
32876,29.56,1004.36
33688,29.56,1004.38
34499,29.56,1004.42
35310,29.56,1004.40
36122,29.50,1004.42
36933,29.50,1004.43
37745,29.50,1004.52
38556,29.50,1004.60
39367,29.50,1004.69
40179,29.50,1004.79
40990,29.44,1004.88
41802,29.44,1004.94
42613,29.44,1004.98
43428,29.44,1005.02
44239,29.37,1005.10
45050,29.37,1005.10
45862,29.37,1005.20
46673,29.37,1005.22
47485,29.31,1005.19
48296,29.31,1005.23
49107,29.31,1005.30
49919,29.31,1005.32
50730,29.31,1005.32
51542,29.25,1005.37
52353,29.25,1005.32
53164,29.25,1005.37
53976,29.25,1005.33
54787,29.25,1005.37
55599,29.25,1005.37
56410,29.19,1005.37
57221,29.19,1005.35
58033,29.19,1005.34
58844,29.19,1005.30
59656,29.19,1005.27
60467,29.19,1005.30
61278,29.12,1005.31
62090,29.12,1005.28
62901,29.12,1005.26
63710,29.12,1005.26
64522,29.12,1005.24
65333,29.06,1005.25
66144,29.06,1005.24
66956,29.06,1005.22
67767,29.06,1005.20
68579,29.06,1005.18
69390,29.00,1005.22
70201,29.00,1005.20
71013,29.00,1005.21
71824,29.00,1005.18
72635,29.00,1005.16
73447,28.94,1005.22
74258,29.00,1005.17
75070,28.94,1005.15
75881,28.94,1005.16
76692,28.94,1005.10
77504,28.94,1005.11
78315,28.94,1005.14
79127,28.94,1005.12
79938,28.94,1005.14
80749,28.87,1005.13
81561,28.87,1005.12
82372,28.87,1005.09
83187,28.87,1005.10
83998,28.87,1005.12
84810,28.87,1005.07
85621,28.81,1005.07
86433,28.81,1005.10
87244,28.81,1005.08
88055,28.81,1005.08
88867,28.81,1005.05
89678,28.75,1005.06
90490,28.81,1005.06
91301,28.75,1005.08
92112,28.75,1005.05
92924,28.75,1005.07
93735,28.75,1005.05
94547,28.75,1005.16
95358,28.69,1005.21
96169,28.69,1005.18
96981,28.69,1005.17
97792,28.69,1005.16
98604,28.69,1005.16
99415,28.69,1005.21
100226,28.62,1005.21
101038,28.62,1005.28
101849,28.62,1005.26
102664,28.62,1005.27
103475,28.62,1005.25
104287,28.62,1005.27
105098,28.62,1005.24
105910,28.62,1005.27
106721,28.56,1005.23
107533,28.56,1005.23
108344,28.56,1005.22
109155,28.56,1005.24
109966,28.56,1005.21
110778,28.56,1005.21
111589,28.50,1005.25
112400,28.56,1005.23
113212,28.50,1005.22
114023,28.50,1005.22
114834,28.50,1005.21
115646,28.50,1005.26
116457,28.50,1005.26
117268,28.50,1004.97
118080,28.50,1004.39
118891,28.44,1004.41
119702,28.44,1004.45
120514,28.44,1004.39
121329,28.44,1023.74
122140,28.44,1153.19
122951,28.50,1266.66
123763,28.62,1369.39
124574,28.75,1424.30
125386,28.87,1424.54
126197,28.87,1424.63
127008,28.94,1424.75
127820,28.94,1424.88
128631,29.00,1425.03
129443,29.06,1425.14
130254,29.06,1425.12
131065,29.06,1425.14
131877,29.06,1425.22
132688,29.12,1425.31
133500,29.12,1425.33
134311,29.12,1425.33
135122,29.12,1425.31
135934,29.12,1425.43
136745,29.12,1425.43
137557,29.12,1425.43
138368,29.12,1425.47
139179,29.19,1425.52
139991,29.19,1425.53
140805,29.19,1425.56
141617,29.19,1425.56
142428,29.19,1425.58
143239,29.19,1425.63
144051,29.19,1425.60
144862,29.25,1425.63
145673,29.19,1425.64
146485,29.19,1425.63
147296,29.25,1425.65
148107,29.19,1425.63
148919,29.19,1425.64
149730,29.25,1425.63
150541,29.19,1425.60
151353,29.19,1425.64
152164,29.19,1425.66
152975,29.19,1425.61
153786,29.25,1425.63
154598,29.19,1425.61
155409,29.19,1425.57
156220,29.19,1425.60
157032,29.19,1425.55
157843,29.19,1425.57
158654,29.19,1425.52
159469,29.19,1425.48
160281,29.19,1425.53
161092,29.19,1425.47
161904,29.19,1425.45
162716,29.19,1425.44
163527,29.19,1425.43
164339,29.12,1425.36
165150,29.12,1425.34
165962,29.12,1425.36
166773,29.12,1425.30
167585,29.12,1425.31
168397,29.12,1425.28
169208,29.12,1425.27
170020,29.12,1425.23
170831,29.06,1425.20
171643,29.06,1425.17
172454,29.06,1425.20
173266,29.06,1425.12
174078,29.06,1425.07
174889,29.06,1425.09
175701,29.00,1425.06
176512,29.00,1425.08
177324,29.00,1424.97
178139,29.00,1424.93
178950,29.00,1424.91
179762,29.00,1424.90
180574,29.00,1424.90
181385,29.00,1424.85
182197,28.94,1424.79
183009,28.94,1424.77
183820,28.94,1424.80
184632,28.94,1424.72
185444,28.94,1424.70
186255,28.94,1424.67
187067,28.94,1424.69
187878,28.87,1424.60
188690,28.87,1424.62
189502,28.87,1424.56
190313,28.87,1424.50
191125,28.87,1424.52
191936,28.87,1424.44
192748,28.87,1424.42
193560,28.81,1424.42
194371,28.81,1424.35
195183,28.81,1424.35
195995,28.81,1424.35
196806,28.81,1424.30
197615,28.81,1424.26
198427,28.75,1424.25
199239,28.81,1424.18
200050,28.75,1424.18
200862,28.75,1424.16
201674,28.75,1424.14
202485,28.75,1424.09
203297,28.75,1424.06
204109,28.75,1424.02
204920,28.69,1424.00
205732,28.69,1423.95
206544,28.69,1423.92
207355,28.69,1423.95
208167,28.69,1423.88
208979,28.69,1423.85
209790,28.69,1423.86
210602,28.69,1423.82
211414,28.62,1423.80
212225,28.62,1423.72
213037,28.62,1423.74
213849,28.62,1423.75
214660,28.62,1423.67
215472,28.62,1423.62
216287,28.56,1423.62
217099,28.62,1423.57
217910,28.56,1423.55
218722,28.56,1423.54
219534,28.56,1423.46
220345,28.56,1423.49
221157,28.56,1423.42
221969,28.56,1423.43
222780,28.50,1423.41
223592,28.50,1423.35
224404,28.50,1423.37
225215,28.50,1423.28
226027,28.50,1423.25
226839,28.50,1423.26
227650,28.50,1423.28
228462,28.44,1423.21
229274,28.44,1423.22
230085,28.44,1423.17
230897,28.44,1423.11
231709,28.44,1423.09
232520,28.44,1423.07
233332,28.44,1423.02
234144,28.44,1422.99
234959,28.44,1423.00
235770,28.37,1422.98
236582,28.37,1422.94
237394,28.37,1422.94
238205,28.37,1422.90
239017,28.37,1422.88
239829,28.37,1422.88
240640,28.37,1422.90
241452,28.37,1422.82
242264,28.31,1422.77
243075,28.31,1422.73
243887,28.31,1422.70
244699,28.31,1422.67
245510,28.31,1422.65
246322,28.31,1422.64
247134,28.31,1422.61
247945,28.31,1422.61
248757,28.25,1422.55
249569,28.25,1422.55
250380,28.25,1422.52
251192,28.25,1422.47
252004,28.25,1422.46
252815,28.25,1422.44
253631,28.25,1422.37
254442,28.25,1422.37
255254,28.19,1422.34
256066,28.19,1422.33
256877,28.19,1422.34
257689,28.19,1422.26
258501,28.19,1422.33
259312,28.19,1422.26
260133,28.19,1422.19
260945,28.19,1422.19
261756,28.19,1422.17
262568,28.12,1422.12
263380,28.19,1422.13
264191,28.12,1422.12
265003,28.12,1422.15
265814,28.12,1422.07
266626,28.12,1422.06
267437,28.12,1422.04
268249,28.12,1422.04
269060,28.06,1422.03
269872,28.12,1421.94
270684,28.06,1421.94
271495,28.06,1421.94
272307,28.06,1421.90
273122,28.06,1421.89
273934,28.06,1421.86
274745,28.06,1421.82
275557,28.06,1421.78
276368,28.06,1421.80
277180,28.00,1421.79
277992,28.06,1421.73
278803,28.00,1421.77
279615,28.00,1421.71
280427,28.00,1421.70
281238,28.00,1421.63
282050,28.00,1421.65
282862,28.00,1421.59
283673,28.00,1421.60
284485,28.00,1421.56
285296,27.94,1421.56
286108,27.94,1421.55
286920,27.94,1421.54
287731,27.94,1421.55
288543,27.94,1421.51
289355,27.94,1421.48
290166,27.94,1421.44
290978,27.94,1421.44
291793,27.94,1421.42
292605,27.87,1095.25
293416,27.69,1004.65
294228,27.56,1023.47
295039,27.44,1045.27
295851,27.37,1062.79
296663,27.37,1077.49
297474,27.37,1089.57
298286,27.31,1099.46
299097,27.31,1107.40
299909,27.31,1113.56
300721,27.31,1118.47
301532,27.31,1122.33
302344,27.25,1125.49
303155,27.25,1127.69
303967,27.25,1129.44
